agency,site,date_time,flow,comments
USGS,bloomington,2019-06-07T04:00:00Z,64.9,
USGS,bloomington,2019-06-08T04:00:00Z,64.9,
USGS,bloomington,2019-06-09T04:00:00Z,64.9,
USGS,bloomington,2019-06-10T04:00:00Z,65.3,
USGS,bloomington,2019-06-11T04:00:00Z,64.9,
USGS,bloomington,2019-06-12T04:00:00Z,64.9,
USGS,bloomington,2019-06-13T04:00:00Z,65.4,
USGS,bloomington,2019-06-14T04:00:00Z,64.9,
USGS,bloomington,2019-06-15T04:00:00Z,64.9,
USGS,bloomington,2019-06-16T04:00:00Z,64.9,
USGS,bloomington,2019-06-17T04:00:00Z,65,
USGS,bloomington,2019-06-18T04:00:00Z,64.9,
USGS,bloomington,2019-06-19T04:00:00Z,64.9,
USGS,bloomington,2019-06-20T04:00:00Z,65,
USGS,bloomington,2019-06-21T04:00:00Z,64.9,
USGS,bloomington,2019-06-22T04:00:00Z,81.6,
USGS,bloomington,2019-06-23T04:00:00Z,89,
USGS,bloomington,2019-06-24T04:00:00Z,90.2,
USGS,bloomington,2019-06-25T04:00:00Z,90.4,
USGS,bloomington,2019-06-26T04:00:00Z,90.2,
USGS,bloomington,2019-06-27T04:00:00Z,90.2,
USGS,bloomington,2019-06-28T04:00:00Z,89.5,
USGS,bloomington,2019-06-29T04:00:00Z,93,
USGS,bloomington,2019-06-30T04:00:00Z,421,
USGS,bloomington,2019-07-01T04:00:00Z,340,
USGS,bloomington,2019-07-02T04:00:00Z,251,
USGS,barton,2019-06-01T04:00:00Z,33.3,
USGS,barton,2019-06-02T04:00:00Z,34.9,
USGS,barton,2019-06-03T04:00:00Z,36,
USGS,barton,2019-06-04T04:00:00Z,28.6,
USGS,barton,2019-06-05T04:00:00Z,26.2,
USGS,barton,2019-06-06T04:00:00Z,26.8,
USGS,barton,2019-06-07T04:00:00Z,22.8,
USGS,barton,2019-06-08T04:00:00Z,19.5,
USGS,barton,2019-06-09T04:00:00Z,17.9,
USGS,barton,2019-06-10T04:00:00Z,30.9,
USGS,barton,2019-06-11T04:00:00Z,33.9,
USGS,barton,2019-06-12T04:00:00Z,22.9,
USGS,barton,2019-06-13T04:00:00Z,21.9,
USGS,barton,2019-06-14T04:00:00Z,23.8,
USGS,barton,2019-06-15T04:00:00Z,18.7,
USGS,barton,2019-06-16T04:00:00Z,16.5,
USGS,barton,2019-06-17T04:00:00Z,57.3,
USGS,barton,2019-06-18T04:00:00Z,40.8,
USGS,barton,2019-06-19T04:00:00Z,40.6,
USGS,barton,2019-06-20T04:00:00Z,62.3,
USGS,barton,2019-06-21T04:00:00Z,98.3,
USGS,barton,2019-06-22T04:00:00Z,88.5,
USGS,barton,2019-06-23T04:00:00Z,63.4,
USGS,barton,2019-06-24T04:00:00Z,59.9,
USGS,barton,2019-06-25T04:00:00Z,142,
USGS,barton,2019-06-26T04:00:00Z,88.9,
USGS,barton,2019-06-27T04:00:00Z,64.9,
USGS,barton,2019-06-28T04:00:00Z,49.3,
USGS,barton,2019-06-29T04:00:00Z,72.1,
USGS,barton,2019-06-30T04:00:00Z,297,
USGS,barton,2019-07-01T04:00:00Z,115,
USGS,barton,2019-07-02T04:00:00Z,71.5,
USGS,seneca,2019-06-01T04:00:00Z,148,
USGS,seneca,2019-06-02T04:00:00Z,206,
USGS,seneca,2019-06-03T04:00:00Z,302,
USGS,seneca,2019-06-04T04:00:00Z,146,
USGS,seneca,2019-06-05T04:00:00Z,113,
USGS,seneca,2019-06-06T04:00:00Z,116,
USGS,seneca,2019-06-07T04:00:00Z,105,
USGS,seneca,2019-06-08T04:00:00Z,101,
USGS,seneca,2019-06-09T04:00:00Z,97.9,
USGS,seneca,2019-06-10T04:00:00Z,102,
USGS,seneca,2019-06-11T04:00:00Z,107,
USGS,seneca,2019-06-12T04:00:00Z,116,
USGS,seneca,2019-06-13T04:00:00Z,267,
USGS,seneca,2019-06-14T04:00:00Z,223,
USGS,seneca,2019-06-15T04:00:00Z,155,
USGS,seneca,2019-06-16T04:00:00Z,141,
USGS,seneca,2019-06-17T04:00:00Z,125,
USGS,seneca,2019-06-18T04:00:00Z,127,
USGS,seneca,2019-06-19T04:00:00Z,120,
USGS,seneca,2019-06-20T04:00:00Z,501,
USGS,seneca,2019-06-21T04:00:00Z,243,
USGS,seneca,2019-06-22T04:00:00Z,176,
USGS,seneca,2019-06-23T04:00:00Z,131,
USGS,seneca,2019-06-24T04:00:00Z,101,
USGS,seneca,2019-06-25T04:00:00Z,146,
USGS,seneca,2019-06-26T04:00:00Z,96.6,
USGS,seneca,2019-06-27T04:00:00Z,87.8,
USGS,seneca,2019-06-28T04:00:00Z,85.3,
USGS,seneca,2019-06-29T04:00:00Z,83.2,
USGS,seneca,2019-06-30T04:00:00Z,106,
USGS,seneca,2019-07-01T04:00:00Z,110,
USGS,seneca,2019-07-02T04:00:00Z,131,
USGS,shen_mill,2019-06-01T04:00:00Z,2140,
USGS,shen_mill,2019-06-02T04:00:00Z,2110,
USGS,shen_mill,2019-06-03T04:00:00Z,2230,
USGS,shen_mill,2019-06-04T04:00:00Z,2090,
USGS,shen_mill,2019-06-05T04:00:00Z,1940,
